queue,seq,latency_ns
MutexQueue,719,2272
MutexQueue,720,5440
MutexQueue,721,578
MutexQueue,722,12135
MutexQueue,723,7280
MutexQueue,724,2267
MutexQueue,725,7098
MutexQueue,726,2140
MutexQueue,727,5618
MutexQueue,728,647
MutexQueue,729,11408
MutexQueue,730,6444
MutexQueue,731,1579
MutexQueue,732,6830
MutexQueue,733,1956
MutexQueue,734,6840
MutexQueue,735,2366
MutexQueue,736,6100
MutexQueue,737,1300
MutexQueue,738,12333
MutexQueue,739,7473
MutexQueue,740,2497
MutexQueue,741,5872
MutexQueue,742,883
MutexQueue,743,11544
MutexQueue,744,6667
MutexQueue,745,1773
MutexQueue,746,7439
MutexQueue,747,2590
MutexQueue,748,6162
MutexQueue,749,1301
MutexQueue,750,12786
MutexQueue,751,8297
MutexQueue,752,3311
MutexQueue,753,7172
MutexQueue,754,2171
MutexQueue,755,5673
MutexQueue,756,710
MutexQueue,757,11848
MutexQueue,758,6918
MutexQueue,759,2023
MutexQueue,760,5481
MutexQueue,761,619
MutexQueue,762,11648
MutexQueue,763,6789
MutexQueue,764,1819
MutexQueue,765,6588
MutexQueue,766,1631
MutexQueue,767,7270
MutexQueue,768,2315
MutexQueue,769,5784
MutexQueue,770,819
MutexQueue,771,11356
MutexQueue,772,6416
MutexQueue,773,1523
MutexQueue,774,6691
MutexQueue,775,1825
MutexQueue,776,5980
MutexQueue,777,1116
MutexQueue,778,6218
MutexQueue,779,1364
MutexQueue,780,12683
MutexQueue,781,7861
MutexQueue,782,2878
MutexQueue,783,7022
MutexQueue,784,2068
MutexQueue,785,5831
MutexQueue,786,873
MutexQueue,787,12259
MutexQueue,788,7314
MutexQueue,789,2432
MutexQueue,790,7087
MutexQueue,791,2260
MutexQueue,792,5760
MutexQueue,793,888
MutexQueue,794,11626
MutexQueue,795,6787
MutexQueue,796,1812
MutexQueue,797,5387
MutexQueue,798,404
MutexQueue,799,12152
MutexQueue,800,7208
MutexQueue,801,2317
MutexQueue,802,7225
MutexQueue,803,2358
MutexQueue,804,5635
MutexQueue,805,767
MutexQueue,806,11500
MutexQueue,807,6659
MutexQueue,808,1693
MutexQueue,809,6853
MutexQueue,810,1898
MutexQueue,811,6809
MutexQueue,812,1838
MutexQueue,813,5973
MutexQueue,814,1002
MutexQueue,815,12293
MutexQueue,816,7310
MutexQueue,817,2436
MutexQueue,818,5877
MutexQueue,819,1022
MutexQueue,820,11615
MutexQueue,821,6763
MutexQueue,822,1785
MutexQueue,823,7285
MutexQueue,824,2293
MutexQueue,825,6101
MutexQueue,826,1156
MutexQueue,827,6201
MutexQueue,828,1207
MutexQueue,829,12098
MutexQueue,830,7158
MutexQueue,831,2662
MutexQueue,832,5824
MutexQueue,833,950
MutexQueue,834,12010
MutexQueue,835,7160
MutexQueue,836,1802
MutexQueue,837,6932
MutexQueue,838,1973
MutexQueue,839,5783
MutexQueue,840,833
MutexQueue,841,6614
MutexQueue,842,1632
MutexQueue,843,6712
MutexQueue,844,1754
MutexQueue,845,6679
MutexQueue,846,1715
MutexQueue,847,6749
MutexQueue,848,1772
MutexQueue,849,6787
MutexQueue,850,1833
MutexQueue,851,5970
MutexQueue,852,994
MutexQueue,853,12054
MutexQueue,854,7095
MutexQueue,855,2214
MutexQueue,856,5501
MutexQueue,857,633
MutexQueue,858,11147
MutexQueue,859,6278
MutexQueue,860,1293
MutexQueue,861,6424
MutexQueue,862,1460
MutexQueue,863,6479
MutexQueue,864,1508
MutexQueue,865,6822
MutexQueue,866,1827
MutexQueue,867,6815
MutexQueue,868,1866
MutexQueue,869,5654
MutexQueue,870,648
MutexQueue,871,11640
MutexQueue,872,6696
MutexQueue,873,1808
MutexQueue,874,5593
MutexQueue,875,787
MutexQueue,876,11479
MutexQueue,877,6642
MutexQueue,878,1659
MutexQueue,879,7541
MutexQueue,880,2552
MutexQueue,881,53103
MutexQueue,882,51289
MutexQueue,883,49858
MutexQueue,884,44867
MutexQueue,885,39987
MutexQueue,886,36228
MutexQueue,887,31392
MutexQueue,888,26371
MutexQueue,889,21525
MutexQueue,890,16522
MutexQueue,891,11649
MutexQueue,892,6669
MutexQueue,893,1778
MutexQueue,894,7885
MutexQueue,895,3774
MutexQueue,896,6980
MutexQueue,897,2104
MutexQueue,898,5398
MutexQueue,899,555
MutexQueue,900,11720
MutexQueue,901,6865
MutexQueue,902,1882
MutexQueue,903,6827
MutexQueue,904,1851
MutexQueue,905,6953
MutexQueue,906,1995
MutexQueue,907,6993
MutexQueue,908,2000
MutexQueue,909,5756
MutexQueue,910,774
MutexQueue,911,12061
MutexQueue,912,7101
MutexQueue,913,2211
MutexQueue,914,5610
MutexQueue,915,746
MutexQueue,916,5632
MutexQueue,917,761
MutexQueue,918,5946
MutexQueue,919,1153
MutexQueue,920,5846
MutexQueue,921,1010
MutexQueue,922,5594
MutexQueue,923,749
MutexQueue,924,5740
MutexQueue,925,930
MutexQueue,926,5563
MutexQueue,927,1037
MutexQueue,928,5960
MutexQueue,929,1132
MutexQueue,930,5931
MutexQueue,931,1093
MutexQueue,932,5560
MutexQueue,933,735
MutexQueue,934,6030
MutexQueue,935,1156
MutexQueue,936,5964
MutexQueue,937,1109
MutexQueue,938,5565
MutexQueue,939,724
MutexQueue,940,5551
MutexQueue,941,693
MutexQueue,942,5566
MutexQueue,943,995
MutexQueue,944,5914
MutexQueue,945,1061
MutexQueue,946,5977
MutexQueue,947,1132
MutexQueue,948,5611
MutexQueue,949,759
MutexQueue,950,5891
MutexQueue,951,1041
MutexQueue,952,5867
MutexQueue,953,1036
MutexQueue,954,5524
MutexQueue,955,658
MutexQueue,956,5751
MutexQueue,957,888
MutexQueue,958,5542
MutexQueue,959,1026
MutexQueue,960,5908
MutexQueue,961,1074
MutexQueue,962,5908
MutexQueue,963,1054
MutexQueue,964,5555
MutexQueue,965,702
MutexQueue,966,5914
MutexQueue,967,1044
MutexQueue,968,5966
MutexQueue,969,1530
MutexQueue,970,5464
MutexQueue,971,631
MutexQueue,972,5607
MutexQueue,973,757
MutexQueue,974,5596
MutexQueue,975,1080
MutexQueue,976,5876
MutexQueue,977,1001
MutexQueue,978,6580
MutexQueue,979,1725
MutexQueue,980,6055
MutexQueue,981,1196
MutexQueue,982,5850
MutexQueue,983,982
MutexQueue,984,5795
MutexQueue,985,922
MutexQueue,986,5518
MutexQueue,987,645
MutexQueue,988,5694
MutexQueue,989,830
MutexQueue,990,5534
MutexQueue,991,1001
MutexQueue,992,5866
MutexQueue,993,1026
MutexQueue,994,5883
MutexQueue,995,1019
MutexQueue,996,5483
MutexQueue,997,655
MutexQueue,998,5868
MutexQueue,999,1047
MutexQueue,1000,5884
MutexQueue,1001,1013
MutexQueue,1002,5511
MutexQueue,1003,641
MutexQueue,1004,5460
MutexQueue,1005,608
MutexQueue,1006,5506
MutexQueue,1007,984
MutexQueue,1008,5832
MutexQueue,1009,979
MutexQueue,1010,5894
MutexQueue,1011,1031
MutexQueue,1012,5480
MutexQueue,1013,613
MutexQueue,1014,5889
MutexQueue,1015,1030
MutexQueue,1016,5906
MutexQueue,1017,1045
MutexQueue,1018,5871
MutexQueue,1019,993
MutexQueue,1020,5577
MutexQueue,1021,714
MutexQueue,1022,5556
MutexQueue,1023,1035
MutexQueue,1024,5896
MutexQueue,1025,1029
MutexQueue,1026,5877
MutexQueue,1027,1049
MutexQueue,1028,5557
MutexQueue,1029,680
MutexQueue,1030,5866
MutexQueue,1031,996
MutexQueue,1032,5873
MutexQueue,1033,994
MutexQueue,1034,5524
MutexQueue,1035,685
MutexQueue,1036,5512
MutexQueue,1037,643
MutexQueue,1038,5554
MutexQueue,1039,979
MutexQueue,1040,5821
MutexQueue,1041,965
MutexQueue,1042,5926
MutexQueue,1043,1076
MutexQueue,1044,5600
MutexQueue,1045,737
MutexQueue,1046,5904
MutexQueue,1047,1052
MutexQueue,1048,5885
MutexQueue,1049,1030
MutexQueue,1050,5616
MutexQueue,1051,781
MutexQueue,1052,5644
MutexQueue,1053,770
MutexQueue,1054,5534
MutexQueue,1055,1027
MutexQueue,1056,5898
MutexQueue,1057,1047
MutexQueue,1058,5900
MutexQueue,1059,1029
MutexQueue,1060,5486
MutexQueue,1061,612
MutexQueue,1062,5893
MutexQueue,1063,1021
MutexQueue,1064,5863
MutexQueue,1065,983
MutexQueue,1066,5472
